"LANDING_YEAR","AGENCY_CODE","MANAGEMENT_GROUP_CODE","COMPLEX","PACFIN_SPECIES_COMMON_NAME","PACFIN_SPECIES_CODE","JAN_LANDED_WEIGHT_MTONS","JAN_LANDED_WEIGHT_PPP","JAN_EXVESSEL_REVENUE","JAN_CONFIDENTIAL_FLAG","FEB_LANDED_WEIGHT_MTONS","FEB_LANDED_WEIGHT_PPP","FEB_EXVESSEL_REVENUE","FEB_CONFIDENTIAL_FLAG","MAR_LANDED_WEIGHT_MTONS","MAR_LANDED_WEIGHT_PPP","MAR_EXVESSEL_REVENUE","MAR_CONFIDENTIAL_FLAG","APR_LANDED_WEIGHT_MTONS","APR_LANDED_WEIGHT_PPP","APR_EXVESSEL_REVENUE","APR_CONFIDENTIAL_FLAG","MAY_LANDED_WEIGHT_MTONS","MAY_LANDED_WEIGHT_PPP","MAY_EXVESSEL_REVENUE","MAY_CONFIDENTIAL_FLAG","JUN_LANDED_WEIGHT_MTONS","JUN_LANDED_WEIGHT_PPP","JUN_EXVESSEL_REVENUE","JUN_CONFIDENTIAL_FLAG","JUL_LANDED_WEIGHT_MTONS","JUL_LANDED_WEIGHT_PPP","JUL_EXVESSEL_REVENUE","JUL_CONFIDENTIAL_FLAG","AUG_LANDED_WEIGHT_MTONS","AUG_LANDED_WEIGHT_PPP","AUG_EXVESSEL_REVENUE","AUG_CONFIDENTIAL_FLAG","SEP_LANDED_WEIGHT_MTONS","SEP_LANDED_WEIGHT_PPP","SEP_EXVESSEL_REVENUE","SEP_CONFIDENTIAL_FLAG","OCT_LANDED_WEIGHT_MTONS","OCT_LANDED_WEIGHT_PPP","OCT_EXVESSEL_REVENUE","OCT_CONFIDENTIAL_FLAG","NOV_LANDED_WEIGHT_MTONS","NOV_LANDED_WEIGHT_PPP","NOV_EXVESSEL_REVENUE","NOV_CONFIDENTIAL_FLAG","DEC_LANDED_WEIGHT_MTONS","DEC_LANDED_WEIGHT_PPP","DEC_EXVESSEL_REVENUE","DEC_CONFIDENTIAL_FLAG","TOTAL_LANDED_WEIGHT_MTONS","TOTAL_LANDED_WEIGHT_PPP","TOTAL_EXVESSEL_REVENUE","TOTAL_CONFIDENTIAL_FLAG"
"1990","C","GRND","MGRN","SPINY DOGFISH","DSRK",,,,"*",,,,"*",,,,"*",.1,.22,55,"",0,.43,41,"",,,,"*",,,,"*",.8,.14,237,"",,,,"*",,,,"*",,,,"*",,,,"*",.9,,333,"*"
"1990","C","GRND","MGRN","UNSP. GRENADIERS","GRDR",1.2,.1,258,"",,,,"*",2.9,.1,646,"",5.6,.14,1797,"",3.1,.16,1066,"",10.7,.15,3575,"",8.6,.16,2944,"",13.5,.17,4962,"",17.8,.15,6069,"",4.9,.14,1535,"",4.1,.14,1257,"",6.6,.14,2039,"",79,,26148,"*"
"1990","C","GRND","MGRN","LEOPARD SHARK","LSRK",2.1,.45,2129,"",1.1,.51,1200,"",1.1,.85,2013,"",2.8,.81,5082,"",1.4,.92,2788,"",2.1,.84,3839,"",1.8,.82,3174,"",1.7,.74,2762,"",.9,.73,1437,"",1.3,.7,2064,"",1.7,.6,2278,"",.7,.6,923,"",18.7,,29689,""
"1990","C","GRND","MGRN","SOUPFIN SHARK","SSRK",4,.89,7792,"",2.6,.94,5461,"",2.1,.91,4296,"",3.5,.83,6466,"",4.5,.98,9722,"",8.7,.81,15461,"",7.4,.79,12781,"",5.2,.7,8006,"",3.1,.73,5011,"",4.2,.82,7573,"",6.1,.84,11348,"",5.6,.71,8775,"",57,,102692,""
"1990","C","GRND","MGRN","UNSP. SKATE","USKT",5.2,.27,3025,"",6.5,.24,3470,"",7.2,.28,4461,"",4.8,.28,3011,"",5,.25,2791,"",3.7,.27,2195,"",5.5,.26,3177,"",6.5,.29,4127,"",5.9,.27,3499,"",5.5,.27,3254,"",6.5,.3,4348,"",3,.27,1823,"",65.3,,39181,""
"1990","C","GRND","ROCK","AURORA ROCKFISH","ARRA",10,.22,4768,"",16.4,.23,8344,"",14.6,.24,7722,"",13.1,.27,7690,"",18.4,.25,10031,"",25.6,.25,13878,"",9.6,.26,5527,"",12.3,.22,6005,"",8.2,.25,4619,"",5.5,.23,2804,"",8.1,.23,4174,"",5.1,.24,2739,"",146.9,,78301,""
"1990","C","GRND","ROCK","BANK ROCKFISH","BANK",64.8,.36,51014,"",33.7,.4,29356,"",55.7,.39,47918,"",56.7,.4,50623,"",51.3,.4,45055,"",54.9,.39,47375,"",44.9,.41,40690,"",59.6,.38,49554,"",46.2,.38,39174,"",150.1,.37,123070,"",105.3,.38,87396,"",61.3,.46,61597,"",784.5,,672822,""
"1990","C","GRND","ROCK","BOCACCIO","BCAC",146.8,.38,124511,"",139.3,.39,119800,"",170,.4,148740,"",197.9,.39,170959,"",163.8,.38,136502,"",183.4,.37,151189,"",277.8,.37,226265,"",320.7,.36,254728,"",250.3,.36,197309,"",253.9,.37,205704,"",185.7,.43,174694,"",149,.47,155069,"",2438.6,,2065470,""
"1990","C","GRND","ROCK","NOM. BOCACCIO","BCC1",,,,"*",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",2.6,.28,1605,"",2.6,,1605,"*"
"1990","C","GRND","ROCK","NOM. BLACKGILL ROCKFISH","BGL1",,,,"*",,,,"*",9.2,.52,10528,"",2.7,.6,3528,"",14.1,.38,11695,"",.7,.63,1009,"",7.4,.38,6236,"",4.4,.47,4546,"",1.2,.3,826,"",,,,"*",.8,.5,904,"",1.3,.53,1501,"",41.8,,40773,"*"
